,Nombre del dato RDA,Tipo de dato,Formato / Longitud,Obligatorio,Valores permitidos / Catálogo,Validación técnica,Uso en Smart Contract,Estructura en red Blockchain,Fuente normativa
,Identificación del Prestador de Servicios de Salud,,,,,,,,
,16. Código del prestador de servicios de salud,String,6–12 caracteres (alfanumérico sin espacios),Sí,Registro Especial de Prestadores de Servicios de Salud (REPS),Existencia obligatoria en REPS; coincidencia exacta,Identificador del prestador en el registro de atención,Metadato on-chain,"RDA Urgencias, Res. 866 de 2021, REPS"
,Entidad Responsable del Plan de Beneficios,,,,,,,,
,15.1 Código administrador del plan de beneficios,String,4–6 caracteres,Sí,Catálogo ADRES (Administradoras de Planes de Beneficio),Validación exacta contra catálogo ADRES; no se aceptan códigos inexistentes,Identificador de la entidad responsable del plan de beneficios,Metadato on-chain,RDA Urgencias; Res. 866 de 2021; Catálogo ADRES
,15.2 Nombre administrador del plan de beneficios,String,Máx. 200 caracteres,Sí (derivado de 15.1),Derivado del catálogo ADRES,Derivado de 15.1; coincidencia exacta con catálogo,No aplica,Referencia off-chain,RDA Urgencias; Catálogo ADRES
,Identificación del Paciente,,,,,,,,
,2.1 Tipo de documento,Código,2–3 caracteres según catálogo,Sí,"Catálogo Maestro Persona (CC, TI, RC, CE, PA, etc.)",Debe coincidir exactamente con catálogo; no editable,Tipo de identificación del paciente,Metadato on-chain,RDA; Res. 866; Catálogo Maestro Persona
,2.2 Número de documento,String numérico,6–15 dígitos,Sí,N/A,Solo números; sin espacios; sin guiones,No se almacena directamente → se usa un hash,Hash on-chain,RDA; Res. 866; Lineamientos de protección de datos
,3.1 Primer apellido,String,Máx. 60 caracteres,Sí,Solo letras,No permite números ni símbolos; UTF-8 permitido,No aplica,Referencia off-chain,RDA; Res. 866
,3.2 Segundo apellido,String,Máx. 60 caracteres,No,Solo letras,"Opcional; si existe, debe cumplir formato",No aplica,Referencia off-chain,RDA; Res. 866
,3.3 Primer nombre,String,Máx. 60 caracteres,Sí,Solo letras,No permite caracteres especiales,No aplica,Referencia off-chain,RDA; Res. 866
,3.4 Segundo nombre,String,Máx. 60 caracteres,No,Solo letras,Opcional; validación similar a primer nombre,No aplica,Referencia off-chain,RDA; Res. 866
,Datos Sociodemográficos,,,,,,,,
,4. Fecha y hora de nacimiento,datetime,YYYY-MM-DD HH:mm,Sí,N/A,Fecha válida; no futura,Identificador temporal del dato demográfico,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,1.1 Código país nacionalidad,Código,ISO 3166-1 (Alpha-2),Sí,ISO 3166-1,Coincidencia exacta con catálogo,Clasificación de nacionalidad,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,1.2 Nombre país nacionalidad,String,Máx. 100 caracteres,Sí (derivado de 1.1),ISO 3166-1,Correspondencia con el código del país,No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,5. Sexo biológico,Código,1 carácter,Sí,M / F,Valor permitido por catálogo,Clasificación biológica del paciente,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,6. Identidad de género,Código,Según catálogo,No,Catálogo Minsalud,Coincidencia exacta con catálogo,No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,13.1 Etnia,Código,Según catálogo,No,"Indígena, ROM, Afrocolombiano, Raizal, Palenquero, Ninguno",Valor permitido por catálogo,Clasificación poblacional,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,13.2 Comunidad étnica,String,Máx. 100 caracteres,Condicional (si 13.1 ≠ “Ninguno”),N/A,Requerido si se reporta etnia,No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,10. Categoría discapacidad,Código,Según catálogo,No,Catálogo Minsalud,Valor permitido,Clasificación funcional,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,7.1 Código ocupación,Código,CUOC / DANE,Sí,DANE – CUOC,Coincidencia exacta con catálogo,Clasificación ocupacional,Metadato on-chain,RDA Urgencias; DANE
,7.2 Nombre ocupación,String,Máx. 200 caracteres,Sí (derivado de 7.1),DANE – CUOC,Correspondencia con código de ocupación,No aplica,Referencia off-chain,RDA Urgencias; DANE
,11.1 Código país residencia,Código,ISO 3166-1 (Alpha-2),Sí,ISO 3166-1,Coincidencia exacta con catálogo,Clasificación territorial,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,11.2 Nombre país residencia,String,Máx. 100 caracteres,Sí (derivado de 11.1),ISO 3166-1,Correspondencia con código del país,No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,12.1 Código municipio residencia,Código,5 dígitos (DANE),Sí,DANE,Coincidencia exacta con catálogo,Identificador territorial,Metadato on-chain,RDA Urgencias; DANE
,12.2 Nombre municipio residencia,String,Máx. 200 caracteres,Sí (derivado de 12.1),DANE,Correspondencia con código del municipio,No aplica,Referencia off-chain,RDA Urgencias; DANE
,14. Zona territorial,Código,1 carácter,Sí,Urbano / Rural / Disperso,Valor permitido por catálogo,Clasificación territorial,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,Datos de la Urgencia / Atención Inmediata,,,,,,,,
,17. Fecha/hora inicio atención,datetime,YYYY-MM-DD HH:mm,Sí,N/A,Fecha válida; no futura,Marca temporal de inicio,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,43. Fecha/hora fin atención,datetime,YYYY-MM-DD HH:mm,Sí,N/A,Posterior a inicio de atención,Marca temporal de cierre,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,18.1 Modalidad tecnología en salud,Código,Según catálogo,Sí,Catálogo Minsalud,Coincidencia exacta,Clasificación de modalidad,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,18.2 Grupo de servicios,Código,Según catálogo,Sí,Catálogo de grupos de servicios,Coincidencia exacta,Clasificación del servicio,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,19. Entorno atención,Código,1 carácter,Sí,Intramural / Extramural,Valor permitido,Clasificación del entorno,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,20. Vía ingreso usuario,Código,Según catálogo,Sí,Catálogo de vías de ingreso,Coincidencia exacta,Clasificación de ingreso,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,21. Causa que motiva la atención,Código,Según catálogo,Sí,Catálogo de causas,Valor permitido,Clasificación clínica inicial,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,22 Triage - Fecha y hora,datetime,YYYY-MM-DD HH:mm,Sí,N/A,Fecha válida; coherente con inicio,Marca temporal de triage,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,22 Triage - Clasificación,Código,1 carácter,Sí,I / II / III / IV / V,Valor permitido,Nivel de prioridad,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,Diagnóstico Principal de Ingreso,,,,,,,,
,23.1 Código diagnóstico principal ingreso CIE-10,Código,Según estándar,Sí,CIE-10,Coincidencia exacta con CIE-10,Identificador diagnóstico principal,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,23.2 Nombre diagnóstico principal ingreso CIE-10,String,Máx. 200 caracteres,Sí,CIE-10,Correspondencia con código diagnóstico,No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,23.3 Tipo diagnóstico principal ingreso CIE-10,Código,1 carácter,Sí,Principal / Relacionado / Complicación,Valor permitido,Clasificación del diagnóstico,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,Diagnóstico principal ingreso CIE-11 (opcional),Código,Según estándar,No,CIE-11,Coincidencia exacta con CIE-11,Referencia diagnóstica,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,Término diagnóstico ingreso CIE-11 (opcional),String,Máx. 200 caracteres,No,CIE-11,Correspondencia con código CIE-11,No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,Antecedentes de Salud,,,,,,,,
,47.1 Código alergia,Código,Según estándar,No,CIE-10 / CIE-11,Coincidencia exacta,Identificador de antecedente,Metadato on-chain,RDA Urgencias; Resolució
,47.2 Nombre alérgeno,String,Máx. 200 caracteres,No,CIE-10 / CIE-11,Correspondencia con código,No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,47.3 Condición salud familiar CIE-10/CIE-11,Código,Según estándar,No,CIE-10 / CIE-11,Coincidencia exacta,Referencia de antecedente familiar,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,47.4 Parentesco antecedente familiar,Código,Según catálogo,No,Catálogo de parentesco,Valor permitido,Clasificación del parentesco,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,Factores de Riesgo,,,,,,,,
,48.1 Tipo de factor riesgo,Código,Según catálogo,No,Catálogo de factores de riesgo,Valor permitido,Clasificación del factor de riesgo,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,48.2 Nombre del factor riesgo,String,Máx. 200 caracteres,No,N/A,Correspondencia con el tipo de factor,No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,Procedimientos Realizados,,,,,,,,
,24.1 Tipo tecnología salud,Código,Según catálogo,Sí,Catálogo Minsalud,Valor permitido,Clasificación de tecnología,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,24.2 Código procedimiento,Código,Según estándar,Sí,CUPS,Coincidencia exacta con CUPS,Identificador del procedimiento,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,24.3 Nombre procedimiento,String,Máx. 200 caracteres,Sí,CUPS,Correspondencia con código CUPS,No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,25 Finalidad tecnología,Código,Según catálogo,Sí,Catálogo de finalidades,Valor permitido,Clasificación de finalidad,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,33 Fecha realización procedimiento,datetime,YYYY-MM-DD HH:mm,Sí,N/A,Fecha válida,Marca temporal de realización,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,36.1 Tipo ID profesional,Código,Según catálogo,Sí,Catálogo tipo identificación,Valor permitido,Identificador del profesional,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,36.2 Identificación profesional,String,Máx. 20 caracteres,Sí,N/A,Formato válido,Referencia del profesional,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,39.1 Fecha resultado valoración,datetime,YYYY-MM-DD HH:mm,No,N/A,Fecha válida,Marca temporal del resultado,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,39.2 Instrumento medición,String,Máx. 200 caracteres,No,N/A,Formato válido,No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,39.3 Código parámetro resultado,Código,Según catálogo,No,Catálogo de parámetros,Valor permitido,Clasificación del parámetro,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,39.4 Valor resultado,String,Máx. 100 caracteres,No,N/A,Formato válido,No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
